Posicao;Fluxo_Concatenado_estatorA;Fluxo_Concatenado_estatorB;Fluxo_Concatenado_estatorC;Tensao_A;Tensao_B;Tensao_C;Indutancia_A;Indutancia_B;Indutancia_C;R_A;R_B;R_C;Potencia_A;Potencia_B;Potencia_C
0;-0,4485881311437404;-0,4899021431975342;0,944728850115476;0,1752568804124151;-1,833677570009119;1,658420689238948;-0,4578552159484214;0,04779052825875904;0,10189853385280656;0,17887739611630757;0,17887739611630765;0,17887739611630754;0,1717096446994367;18,79708394552156;15,375666474412906
5;-0,2673593096388848;-0,6086831641407495;0,8745878163504106;0,520513322230382;-1,953928176808271;1,433414854756764;-0,0918795640632804;0,05572347067494906;0,10914076322332777;0,17887739611630749;0,17887739611630768;0,17887739611630746;1,514635859542287;21,343307779608462;11,48651640982848
10;-0,1423732877693645;-0,7370854339355041;0,8575509965979081;0,85015551535731;-2,015565259837961;1,165409743944019;-0,029956122771253237;0,06541486190739432;0,13162451241333264;0,17887739611630746;0,1788773961163075;0,17887739611630757;4,040557476711627;22,71110495159598;7,592797641109243
15;0,04384387798330451;-0,8020892917593473;0,7470868994577908;1,154294922538406;-2,01673984037182;0,8624449172967805;0,0067943456877102145;0,07114236605562034;0,15495129783648395;0,1788773961163075;0,17887739611630757;0,17887739611630743;7,448659233230395;22,73758267980601;4,158218151204633
20;0,1937564957140019;-0,897265150332003;0,6978643353817909;1,423808034196275;-1,957416684929131;0,5336086501962235;0,02434222634057941;0,08199605886321897;0,23393952686042088;0,1788773961163075;0,17887739611630757;0,1788773961163076;11,333065900197589;21,419587726711367;1,5918064425484841
25;0,3499614852950848;-0,9013459530509783;0,5421656454655722;1,650610052635755;-1,839375355285158;0,1887653031860349;0,03792549253569484;0,08765498386093959;0,5137659161282428;0,17887739611630746;0,17887739611630749;0,17887739611630757;15,231178477635654;18,914081773812;0,19919978969141097
30;0,4911355130878185;-0,947901748841679;0,4502567698964816;1,827897418847261;-1,666156833423792;-0,1617405856023469;0,0480623479280358;0,10176604819275502;-0,4979625755828434;0,1788773961163075;0,17887739611630757;0,1788773961163074;18,678765715350632;15,519448817109168;0,14624551563787672
35;0,6105175159107944;-0,8784398125753645;0,2686756737217507;1,950351904281778;-1,442957290008419;-0,5073946142733591;0,055993886687713074;0,10889651925696407;-0,09471918613871814;0,1788773961163076;0,17887739611630762;0,1788773961163075;21,265250015503625;11,639960028457843;1,4392500124846141
40;0,7392347885190932;-0,8605723516945691;0,1432478238184317;2,014300144087607;-1,176472217952922;-0,8378279264924395;0,06564681756937488;0,13084621896865886;-0,03058360423869192;0,17887739611630757;0,17887739611630754;0,1788773961163075;22,682603607630764;7,737628731553778;3,9242277093199833
45;0,8049360313706911;-0,750473933703848;-0,04340263738080583;2,017823833814736;-0,8746955804740837;-1,143128253161775;0,07135650740113293;0,15347376402810592;0,0067916707839082175;0,17887739611630749;0,17887739611630743;0,1788773961163076;22,762032054980295;4,277188594602671;7,305239407258793
50;0,8999338158597471;-0,700173159245672;-0,1940365396226184;1,960817269443479;-0,5466800096642491;-1,414137259600352;0,08209730716197385;0,22910139266536475;0,024544117428121306;0,1788773961163075;0,1788773961163075;0,17887739611630749;21,494076096947754;1,6707478946763232;11,179636065865573
55;0,9042636644103856;-0,5442635981781453;-0,3504520077274271;1,844990522458255;-0,2022652469922014;-1,642725274929422;0,08767108975541103;0,48133061260273086;0,038160941188847046;0,17887739611630757;0,17887739611630757;0,17887739611630762;19,02973825573513;0,22871101116775766;15,086010795558133
60;0,9511346038011189;-0,4518555213943701;-0,4924097093104491;1,673818138347016;0,1482170256868357;-1,822035164749362;0,10164573879697511;-0,5453269535888432;0,04834207831326759;0,1788773961163075;0,1788773961163076;0,17887739611630757;15,662499684632062;0,12281197725602036;18,5591484092527
65;0,881412011509401;-0,2699778050854677;-0,6119185969716385;1,45243491100324;0,4942531153684194;-1,946688026550538;0,10855198007842895;-0,09770889708380819;0,056228015875449414;0,1788773961163074;0,1788773961163075;0,17887739611630754;11,793369181924659;1,3656624445301704;21,185428427475557
